material,mp_id,pair_style,potential_ref,file,source,used_in,status,reference,notes
PbMoO4,mp-20418,,,,,,needs_dft,,"Wulfenite scheelite; same situation as CaMoO4 plus Pb adds difficulty. Use DFT-MD."
SrMoO4,mp-22640,,,,,,needs_dft,,"Scheelite; no classical potential or KIM model. Use DFT-MD."
AlN,mp-661,vashishta,Vashishta-2011,potentials/AlN.vashishta,literature,,local_pending,"Vashishta, Kalia, Nakano, Rino, J. Appl. Phys. 109, 033514 (2011)","Vashishta 3-body for AlN; NOT on KIM (verified) and NOT in lammps/potentials/ (only SiC, SiO, InP ship with LAMMPS). FILE PENDING - manual extraction from 2011 paper Table II required."
BN,mp-984,kim,Tersoff_LAMMPS_KinaciHaskinsSevik_2012_BNC__MO_105008013807_000,potentials/BNC.tersoff,OpenKIM,,kim,https://openkim.org/id/Tersoff_LAMMPS_KinaciHaskinsSevik_2012_BNC__MO_105008013807_000,"Kinaci-Haskins-Sevik 2012 Tersoff for B-N-C; CONFIRMED on openkim.org. Albe-Moeller/Sekkal not on KIM. Populate only B and N atoms; works for cubic and hexagonal BN."
LiNbO3,mp-3731,,,,,,needs_dft,,"Ferroelectric perovskite-like; Jackson-Catlow shell model exists (J. Phys. C 1988) but standard LAMMPS pair_style does not support shell models out-of-box without core/shell drudes. Recommend DFT-MD."
Al2O3,mp-1143,buck/coul/long,Matsui-1994,potentials/Al2O3.buck,literature,,local_pending,"Matsui, Mineral. Mag. 58A, 571 (1994)","Matsui Buckingham for corundum; backup of kim row. FILE PENDING."
Al2O3,mp-1143,kim,Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_AlO__SM_466046725502_000,,OpenKIM,,kim,CHANGED TO Alt non-EQ: Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_AlO__SM_466046725502_000."
BeO,mp-2542,,,,,,needs_dft,,"Wurtzite BeO; very limited classical potential literature, no production-grade KIM model verified. Use DFT-MD."
ScAlMgO4,mp-1096925,,,,,,needs_dft,,"SCAM substrate; quaternary Sc-Al-Mg-O, no KIM model, no published classical potential. Use DFT-MD."
SiO2,mp-7000,buck/coul/long,BKS-1990,potentials/SiO2.bks,literature,,local_pending,"van Beest, Kramer, van Santen, Phys. Rev. Lett. 64, 1955 (1990)","BKS Buckingham for silica; backup of kim row. Better than Munetoh Tersoff for optical work. FILE PENDING."
SiO2,mp-7000,kim,Tersoff_LAMMPS_MunetohMotookaMoriguchi_2007_SiO__MO_501246546792_000,,OpenKIM,,kim,https://openkim.org/id/Tersoff_LAMMPS_MunetohMotookaMoriguchi_2007_SiO__MO_501246546792_000,"Munetoh-Motooka-Moriguchi 2007 Tersoff for Si-O; CONFIRMED on openkim.org. Less accurate for elastic/optical of alpha-quartz than BKS - prefer BKS local for optical work."
TeO2,mp-557,,,,,,needs_dft,,"Paratellurite; lone-pair Te makes classical potentials difficult; no production KIM model, limited literature (Pietrucci shell model exists but not in vanilla LAMMPS). Use DFT-MD."
TiO2,mp-2657,buck/coul/long,Matsui-Akaogi-1991,potentials/TiO2.buck,literature,,local_pending,"Matsui, Akaogi, Mol. Simul. 6, 239 (1991)","Matsui-Akaogi Buckingham; same parameters as KIM SM row. Redundant; FILE PENDING (low priority)."
TiO2,mp-2657,kim,Sim_LAMMPS_Buckingham_MatsuiAkaogi_1991_TiO__SM_690504433912_000,,OpenKIM,,kim,https://openkim.org/id/Sim_LAMMPS_Buckingham_MatsuiAkaogi_1991_TiO__SM_690504433912_000,"Matsui-Akaogi 1991 Buckingham wrapped as KIM simulator model; CONFIRMED on openkim.org. Alt: Sim_LAMMPS_SMTBQ_SallesPolitanoAmzallag_2016_TiO__SM_349577644423_000 (charge-EQ). No portable MEAM/ReaxFF TiO2 found."
ZnO,mp-2133,kim,Tersoff_LAMMPS_Erhart_Juslin_Goy_Nordlund_Mueller_Albe_ZnO__MO_616776018688_001,,OpenKIM,,kim,https://openkim.org/id/Tersoff_LAMMPS_Erhart_Juslin_Goy_Nordlund_Mueller_Albe_ZnO__MO_616776018688_001,"Erhart-Juslin-Goy-Nordlund-Mueller-Albe Tersoff bond-order for ZnO; CONFIRMED on openkim.org"
ZnO,mp-2133,buck/coul/long,Binks-Grimes,potentials/ZnO.buck,literature,,local_pending,"Binks, Grimes, J. Am. Ceram. Soc. 76, 2370 (1993)","Binks-Grimes Buckingham for wurtzite ZnO; backup of kim row. FILE PENDING."
AlPO4,mp-5331,buck/coul/long,Gale-AlPO4,potentials/AlPO4.buck,literature,,local_pending,"Gale, Henson, J. Chem. Soc. Faraday Trans. 90, 3175 (1994); also Sastre-Gale","Gale Buckingham for berlinite AlPO4. FILE PENDING - check GULP library."
KH2PO4,mp-696752,reaxff,ReaxFF-PO,potentials/KDP.reax,literature,,local_pending,"Verlackt et al., or Liu et al. (P/O/H ReaxFF); applicability to KDP structure not guaranteed","KDP; full ReaxFF .reax file (100s of params) needed. FILE PENDING - DFT-MD likely preferable."
NH4H2PO4,mp-6978,reaxff,ReaxFF-NPOH,potentials/ADP.reax,literature,,local_pending,"Various N/P/O/H ReaxFF parameter sets","ADP; same situation as KDP. FILE PENDING - DFT-MD likely preferable."
AgGaS2,mp-5342,,,,,,needs_dft,,"Chalcopyrite; no KIM model, no transferable classical potential for Ag-Ga-S ternary. Use DFT-MD."
CdS,mp-672,kim,SW_ZhouWardMartin_2013_CdTeZnSeHgS__MO_503261197030_002,,OpenKIM,,kim,https://openkim.org/id/SW_ZhouWardMartin_2013_CdTeZnSeHgS__MO_503261197030_002,"Zhou-Ward-Martin 2013 SW for II-VI semiconductors; species set CdTeZnSeHgS (includes Hg); CONFIRMED on openkim.org. Populate only Cd and S atoms in the data file."
CdGa2S4,,,,,,,needs_dft,,"Defect chalcopyrite; no KIM model, no classical potential for Cd-Ga-S ternary. Use DFT-MD."
GaS,mp-2507,,,,,,needs_dft,,"Layered GaS; some Ga-S Tersoff parameters in literature but unreliable for layered phase, no production KIM model verified. Use DFT-MD."
LiTaO3,mp-3666,,,,,,needs_dft,,"Ferroelectric LN-isostructural; same situation as LiNbO3 - shell model exists but not standard LAMMPS. Use DFT-MD."
BaTiO3,mp-5986,,,,,,needs_dft,,"Ferroelectric perovskite; Tinte/Sepliarsky shell models published but require core-shell drudes not in vanilla LAMMPS pair_style. Some bond-valence models exist (Liu, Cohen 2013 - bond-valence model in LAMMPS via pair_style bv) - verify. Recommend DFT-MD."
PbTiO3,mp-20459,,,,,,needs_dft,,"Ferroelectric perovskite; same as BaTiO3 - shell models published but not in standard LAMMPS. Bond-valence (Shin-Cohen-Grinberg) implementation exists but specialized. Recommend DFT-MD."
YVO4,mp-19133,,,,,,needs_dft,,"Zircon-type vanadate; no KIM model, no widely used classical potential for V-O in VO4 tetrahedra with Y. Use DFT-MD."
CaWO4,mp-18921,,,,,,needs_dft,,"Scheelite tungstate; no KIM model, no production classical potential for W-O in WO4. Use DFT-MD."
